0;0x00;"CH+"
1;0x01;"CH-"
2;0x02;"VOL+"
3;0x03;"VOL-"
6;0x06;"RIGHT"
7;0x07;"LEFT"
8;0x08;"POWER"
9;0x09;"MUTE"
11;0x0B;"INPUT"
14;;"Sleep Timer"
16;0x10;"0"
17;0x11;"1"
18;0x12;"2"
19;0x13;"3"
20;0x14;"4"
21;0x15;"5"
22;0x16;"6"
23;0x17;"7"
24;0x18;"8"
25;0x19;"9"
26;0x1A;"Q.VIEW"
30;0x1E;"FAV"
32;0x20;"TEXT"
33;0x21;"T.OPT"
40;0x28;"BACK"
48;0x30;"AV"
57;0x39;"SUBTIT"
64;0x40;"UP"
65;0x41;"DOWN"
67;0x43;"MENU/HOME";"/ 0x23 (keep pressed 5sec)"
68;0x44;"OK"
69;0x45;"Q.MENU"
83;0x53;"LIST"
88;0x58;"WIDGETS";"(only US models)"
89;0x59;"NETCAST"
91;0x5B;"EXIT"
97;0x61;"BLUE/3Dsettings"
99;0x63;"YELLOW"
113;0x71;"GREEN"
114;0x72;"RED"
121;0x79;"RATIO"
126;0x7E;"SIMPLNK"
142;0x8E;">>"
143;0x8F;"<<"
145;0x91;"AD"
149;0x95;"Energy"
158;0x9E;"LIVE TV";"(for DVR to return to live feed if paused or re-winded)"
159;0x9F;"APP"
170;0xAA;"INFO"
169;0xA9;"GUIDE"
176;0xB0;"PLAY"
177;0xB1;"STOP"
186;0xBA;"PAUSE"
189;0xBD;"REC";"(only on DVR models)"
220;0xDC;"3D"
240;0xF0;"TV/RAD"
0;;
10;0x0A;"MPX";"service"
34;0x22;"MODE";"service"
38;0x26;"TIME";"service"
71;0x47;"SOUND";"service"
77;0x4D;"APC(PSM)";"service"
81;0x51;"FRONT-AV";"service"
82;0x52;"ASC(SSM)";"service"
87;0x57;"PICTURE";"service"
90;0x5A;"AV1";"service"
96;0x60;"PIP";"service"
98;0x62;"POSITION";"service"
100;0x64;"SIZE";"service"
101;0x65;"STILL";"service"
112;0x70;"MULTI_PIP";"service"
152;0x98;"MULTIMEDIA";"service"
206;0xCE;"Input HDMI1";"service"
207;;"Installation Menu";"service"
208;;"Input AV2"
209;;"Input AV3"
212;;"?"
213;;"Input RGB"
215;;"Input RGB"
218;;"Input HDMI4"
233;;"Input HDMI3"
238;;"Geen Opslag Beschikbaar"
249;0xF9;"TILT";"service"
250;0xFA;"IN_STOP";"service"
251;0xFB;"IN_START";"service"
252;0xFC;"P_CHECK";"service"
253;0xFD;"S_CHECK";"service"
254;0xFE;"POWERONLY";"service"
255;0xFF;"EZ_ADJUST";"service"
